"ItemName","itmId","ItmName","Name","Units","itmDateAdded","itmCode"
"","46","Chocolate Doughnut - pcs","Chocolate Doughnut","pcs","2015-12-01T00:00:00","PR46"
"","47","Chocolate Fudge - pcs","Chocolate Fudge","pcs","2015-12-01T00:00:00","PR47"
"","48","Chocolate Macaroon - pcs","Chocolate Macaroon","pcs","2015-12-01T00:00:00","PR48"
"","49","Chocolate Muffin - pcs","Chocolate Muffin","pcs","2015-12-01T00:00:00","PR49"
"","50","Cinnamon Danish - pcs","Cinnamon Danish","pcs","2015-12-01T00:00:00","PR50"
"","51","Coffee Parline - pcs","Coffee Parline","pcs","2015-12-01T00:00:00","PR51"
"","52","Coke 500 Ml - pcs","Coke 500 Ml","pcs","2015-12-01T00:00:00","PR52"
"","53","Coke 600Ml - pcs","Coke 600Ml","pcs","2015-12-01T00:00:00","PR53"
"","54","Cream Croissant - pcs","Cream Croissant","pcs","2015-12-01T00:00:00","PR54"
"","55","Cream Doughnut - pcs","Cream Doughnut","pcs","2015-12-01T00:00:00","PR55"
"","56","Cup Cakes - pcs","Cup Cakes","pcs","2015-12-01T00:00:00","PR56"
"","57","Custard Cookies - pcs","Custard Cookies","pcs","2015-12-01T00:00:00","PR57"
"","58","Custard Doughnutt - pcs","Custard Doughnutt","pcs","2015-12-01T00:00:00","PR58"
"","59","Dew - pcs","Dew","pcs","2015-12-01T00:00:00","PR59"
"","60","Dite Pepsi - pcs","Dite Pepsi","pcs","2015-12-01T00:00:00","PR60"
"","61","Florentine Cookies - pcs","Florentine Cookies","pcs","2015-12-01T00:00:00","PR61"
"","62","Focaccia Bread - pcs","Focaccia Bread","pcs","2015-12-01T00:00:00","PR62"
"","63","French Heart Cookies - pcs","French Heart Cookies","pcs       ","2015-12-01T00:00:00","PR63"
"","64","Fruit Cake Big - pcs","Fruit Cake Big","pcs","2015-12-01T00:00:00","PR64"
"","65","Fruit Cake Small - pcs","Fruit Cake Small","pcs","2015-12-01T00:00:00","PR65"
"","66","Hazalnut Paraline - pcs","Hazalnut Paraline","pcs","2015-12-01T00:00:00","PR66"
"","67","Hot Dog Bun - pcs","Hot Dog Bun","pcs","2015-12-01T00:00:00","PR67"
"","68","Multigrain Bread - pcs","Multigrain Bread","pcs","2015-12-01T00:00:00","PR68"
"","69","Multigrain Bun - pcs","Multigrain Bun","pcs","2015-12-01T00:00:00","PR69"
"","70","Multigrain Loaf - pcs","Multigrain Loaf","pcs","2015-12-01T00:00:00","PR70"
"","71","Mushroom Patty - pcs","Mushroom Patty","pcs       ","2015-12-01T00:00:00","PR71"
"","72","Oat Meal N Cherry Cookies - pcs","Oat Meal N Cherry Cookies","pcs","2015-12-01T00:00:00","PR72"
